code,user,repo,branch,stars,description
NaturalHistoryMuseum-ckanext-graph,NaturalHistoryMuseum,ckanext-graph,main,3,A CKAN extension that adds a graph view for resources.
okfn-ckanext-storage,okfn,ckanext-storage,master,3,CKAN storage extension.
alantygel-ckanext-semantictags,alantygel,ckanext-semantictags,master,3,CKAN Extensions for making semantic tags available
openresearchdata-ckanext-ord-hierarchy,openresearchdata,ckanext-ord-hierarchy,master,3,An extension to add a hierarchical structure to datasets
asc-csa-ckanext-asc-csa,asc-csa,ckanext-asc-csa,master,3,📈 Extension CKAN pour le portail de données et information ouvertes de l'ASC | 📈CKAN Extension for the CSA open data and information portal
NaturalHistoryMuseum-ckanext-versioned-datastore,NaturalHistoryMuseum,ckanext-versioned-datastore,main,3,A CKAN extension providing a versioned datastore using MongoDB and Elasticsearch.
opendatamonitor-ckanext-harmonisation,opendatamonitor,ckanext-harmonisation,master,3,Tool for harmonising metadata labels and values
okfn-ckanext-demo,okfn,ckanext-demo,master,3,ckan demo site extension
datopian-ckanext-story,datopian,ckanext-story,master,3,
dataoverheid-ckanext-donl,dataoverheid,ckanext-donl,master,3,CKAN extensie voor data.overheid.nl
datopian-ckanext-coastal,datopian,ckanext-coastal,master,3,
belgium-its-steering-committee-ckanext-benap,belgium-its-steering-committee,ckanext-benap,master,3,Belgium's multimodal transport service catalogue
NaturalHistoryMuseum-ckanext-gbif,NaturalHistoryMuseum,ckanext-gbif,main,3,A CKAN extension that that connects with the GBIF API.
okfn-ckanext-drupal,okfn,ckanext-drupal,master,3,drual integration
CENDARI-ckanext-dariahshibboleth,CENDARI,ckanext-dariahshibboleth,master,3,DARIAH Shibboleth authentication plugin for CKAN
etri-odp-ckanext-keycloak,etri-odp,ckanext-keycloak,master,3,SSO authentication extension with Keycloak for CKAN
microcomp-ckanext-torrent,microcomp,ckanext-torrent,master,3,"CKAN extension that enables creating torrent files (seeding, tracking)"
okfn-ckanext-feedcontent,okfn,ckanext-feedcontent,master,3,Allows for content from rss/atom feeds to be inserted into pages.
keitaroinc-ckanext-datagovmk,keitaroinc,ckanext-datagovmk,master,3,
datopian-ckanext-auth,datopian,ckanext-auth,master,3,Login via CKAN Classic from a separate service.
geosolutions-it-ckanext-geonode,geosolutions-it,ckanext-geonode,master,3,CKAN harvester for GeoNode instances
